"rbd","nombre","region","comuna","tipo"
"1","LICEO POLITECNICO ARICA","Arica y Parinacota","ARICA","Servicio Local"
"2","PARVULARIO LAS ESPIGUITAS","Arica y Parinacota","ARICA","Servicio Local"
"3","ESC. PEDRO VICENTE GUTIERREZ TORRES","Arica y Parinacota","ARICA","Servicio Local"
"4","LICEO OCTAVIO PALMA PEREZ","Arica y Parinacota","ARICA","Servicio Local"
"5","JOVINA NARANJO FERNANDEZ","Arica y Parinacota","ARICA","Servicio Local"
"7","L. POLI. BICENTENARIO DE EXCELENCIA ANTONIO VARAS DE LA BARRA","Arica y Parinacota","ARICA","Servicio Local"
"8","COLEGIO EDUARDO FREI MONTALVA","Arica y Parinacota","ARICA","Servicio Local"
"9","ESCUELA REPUBLICA DE ISRAEL","Arica y Parinacota","ARICA","Servicio Local"
"10","ESCUELA REPUBLICA DE FRANCIA","Arica y Parinacota","ARICA","Servicio Local"
"11","ESC. GRAL. PEDRO LAGOS MARCHANT","Arica y Parinacota","ARICA","Servicio Local"
"12","ESCUELA GRAL JOSE MIGUEL CARRERA","Arica y Parinacota","ARICA","Servicio Local"
"13","ESCUELA MANUEL RODRIGUEZ ERDOYZA","Arica y Parinacota","ARICA","Servicio Local"
"14","ESCUELA ROMULO J. PENA MATURANA","Arica y Parinacota","ARICA","Servicio Local"
"15","LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI","Arica y Parinacota","ARICA","Servicio Local"
"16","ESCUELA REGIMIENTO RANCAGUA","Arica y Parinacota","ARICA","Servicio Local"
"17","ESCUELA SUBTTE. LUIS CRUZ MARTINEZ","Arica y Parinacota","ARICA","Servicio Local"
"18","ESC. COMTE. JUAN JOSE SAN MARTIN","Arica y Parinacota","ARICA","Servicio Local"
"19","ESC. HUMBERTO VALENZUELA GARCIA","Arica y Parinacota","ARICA","Servicio Local"
"20","ESCUELA TUCAPEL","Arica y Parinacota","ARICA","Servicio Local"
"22","ESCUELA GABRIELA MISTRAL","Arica y Parinacota","ARICA","Servicio Local"
"25","COLEGIO CENTENARIO DE ARICA","Arica y Parinacota","ARICA","Servicio Local"
"26","ESCUELA REPUBLICA DE ARGENTINA","Arica y Parinacota","ARICA","Servicio Local"
"27","ESCUELA ESMERALDA","Arica y Parinacota","ARICA","Servicio Local"
"28","ESCUELA RICARDO SILVA ARRIAGADA","Arica y Parinacota","ARICA","Servicio Local"
"29","ESCUELA AMERICA","Arica y Parinacota","ARICA","Servicio Local"
"30","ESCUELA DR. RICARDO OLEA GUERRA","Arica y Parinacota","ARICA","Servicio Local"
"31","ESCUELA DARIO SALAS DIAZ","Arica y Parinacota","ARICA","Servicio Local"
"32","LICEO AGRICOLA JOSE ABELARDO NUNEZ M.","Arica y Parinacota","ARICA","Servicio Local"
"33","ESCUELA CARLOS CONDELL DE LA HAZA","Arica y Parinacota","ARICA","Servicio Local"
"35","ESCUELA GRAL. MANUEL BAQUEDANO","Arica y Parinacota","ARICA","Servicio Local"
"36","ESCUELA IGNACIO CARRERA PINTO","Arica y Parinacota","ARICA","Servicio Local"
"38","ESCUELA ESPAÑA","Arica y Parinacota","ARICA","Servicio Local"
"39","ESCUELA PAMPA ALGODONAL","Arica y Parinacota","ARICA","Servicio Local"
"41","ESCUELA VALLE DE CHACA","Arica y Parinacota","ARICA","Servicio Local"
"42","ESCUELA MOLINOS LLUTA","Arica y Parinacota","ARICA","Servicio Local"
"43","JARDIN INFANTIL CEPILLIN","Arica y Parinacota","ARICA","Part. Subvencionado"
"45","COLEGIO ITALIANO SANTA ANA","Arica y Parinacota","ARICA","Part. Subvencionado"
"47","J.  I. KURUMI","Arica y Parinacota","ARICA","Part. Pagado"
"49","JARDIN INFANTIL PADRE LUIS GALLARDO","Arica y Parinacota","ARICA","Part. Subvencionado"
"50","COLEGIO ADVENTISTA DE ARICA","Arica y Parinacota","ARICA","Part. Subvencionado"
"52","LICEO BICENTENARIO DOMINGO SANTA MARIA","Arica y Parinacota","ARICA","Part. Subvencionado"
"56","COLEGIO SAN MARCOS DE ARICA","Arica y Parinacota","ARICA","Part. Subvencionado"
"59","COLEGIO SAN JORGE","Arica y Parinacota","ARICA","Part. Pagado"
"60","COLEGIO ALEMAN DE ARICA","Arica y Parinacota","ARICA","Part. Subvencionado"
"66","JARDIN INFANTIL PLUTO","Arica y Parinacota","ARICA","Part. Subvencionado"
"67","ABRAHAM LINCOLN SCHOOL","Arica y Parinacota","ARICA","Part. Subvencionado"
"69","JUNIOR COLLEGE","Arica y Parinacota","ARICA","Part. Pagado"
"70","ESCUELA VALLE DE ESQUINA","Arica y Parinacota","CAMARONES","Servicio Local"
